id,"code","name","country_id"
"__export__.res_country_state_723_a184d3cc","44","LOIRE ATLANTIQUE","France"
"__export__.res_country_state_724_68a42e57","45","LOIRET","France"
"__export__.res_country_state_725_0e3844f4","46","LOT","France"
"__export__.res_country_state_726_2de8c8ed","47","LOT ET GARONNE","France"
"__export__.res_country_state_727_0dd765b5","48","LOZERE","France"
"__export__.res_country_state_728_47c3aed5","49","MAINE ET LOIRE","France"
"__export__.res_country_state_729_a25c80a2","50","MANCHE","France"
"__export__.res_country_state_730_97563383","51","MARNE","France"
"__export__.res_country_state_731_6195fae5","52","MARNE HAUTE","France"
"__export__.res_country_state_732_d9f54b5b","53","MAYENNE","France"
"__export__.res_country_state_733_c4190a70","54","MEURTHE ET MOSELLE","France"
"__export__.res_country_state_734_de245367","55","MEUSE","France"
"__export__.res_country_state_735_ca52d1b7","56","MORBIHAN","France"
"__export__.res_country_state_736_d8639717","57","MOSELLE","France"
"__export__.res_country_state_737_d9253f33","58","NIEVRE","France"
"__export__.res_country_state_738_41ee11e4","59","NORD","France"
"__export__.res_country_state_739_e0132823","60","OISE","France"
"__export__.res_country_state_740_eae63ab9","61","ORNE","France"
"__export__.res_country_state_741_6013a02e","62","PAS DE CALAIS","France"
"__export__.res_country_state_742_b5ae111f","63","PUY DE DOME","France"
"__export__.res_country_state_743_db205be0","64","PYRENEES ATLANTIQUES","France"
"__export__.res_country_state_744_8d7940b4","65","PYRENEES HAUTES","France"
"__export__.res_country_state_745_c413b349","66","PYRENEES ORIENTALES","France"
"__export__.res_country_state_746_8475ec6a","67","RHIN BAS","France"
"__export__.res_country_state_747_4ace1143","68","RHIN HAUT","France"
"__export__.res_country_state_748_c612d881","69","RHONE","France"
"__export__.res_country_state_749_18f7737b","70","SAONE HAUTE","France"
"__export__.res_country_state_750_3b885ec0","71","SAONE ET LOIRE","France"
"__export__.res_country_state_751_0d6ac9c4","72","SARTHE","France"
"__export__.res_country_state_752_a2bda6e9","73","SAVOIE","France"
"__export__.res_country_state_753_2c9682d6","74","SAVOIE HAUTE","France"
"__export__.res_country_state_754_caa0abf7","75","PARIS","France"
"__export__.res_country_state_755_eda34d1c","76","SEINE MARITIME","France"
"__export__.res_country_state_756_a9fe8515","77","SEINE ET MARNE","France"
"__export__.res_country_state_757_e5db1263","78","YVELINES","France"
"__export__.res_country_state_758_3ef75d69","79","SEVRES DEUX","France"
"__export__.res_country_state_759_28f6ced9","80","SOMME","France"
"__export__.res_country_state_760_75a6df39","81","TARN","France"
"__export__.res_country_state_761_744e8765","82","TARN ET GARONNE","France"
"__export__.res_country_state_762_04fe227b","83","VAR","France"
"__export__.res_country_state_763_8db66c80","84","VAUCLUSE","France"
"__export__.res_country_state_764_74874912","85","VENDEE","France"
"__export__.res_country_state_765_ed4528d6","86","VIENNE","France"
"__export__.res_country_state_766_abd0ff5b","87","VIENNE HAUTE","France"
"__export__.res_country_state_767_90c4287f","88","VOSGES","France"
"__export__.res_country_state_768_6ffc19f3","89","YONNE","France"
"__export__.res_country_state_769_48f5662f","90","BELFORT","France"
"__export__.res_country_state_770_51210bfc","91","ESSONNE","France"
"__export__.res_country_state_771_370c8988","92","HAUTS DE SEINE","France"
"__export__.res_country_state_772_7a1d56e8","93","SEINE SAINT DENIS","France"
"__export__.res_country_state_773_9bde30ff","94","VAL DE MARNE","France"
"__export__.res_country_state_774_efe03910","95","VAL D'OISE","France"
